t_over_L,d_mm,L_mm,N,lattice_type,band_mean_alpha,alpha_1000hz,C11,C12,C44,surrogate_method
0.040714,1.3929,10.0,5,SC,0.176171,0.289285,0.0871591469673739,0.0147691118431046,0.0158255560173288,GPR
0.051429,1.3929,10.0,5,SC,0.183479,0.301954,0.1081048454087395,0.0188236042560309,0.0198265841754177,GPR
0.062143,1.3929,10.0,5,SC,0.189952,0.312645,0.1293833589694963,0.023142101375831,0.0239770167693537,GPR
0.072857,1.3929,10.0,5,SC,0.195701,0.321764,0.151019443555247,0.0277374565718414,0.0282872599342008,GPR
0.083571,1.3929,10.0,5,SC,0.200812,0.329665,0.1730383892289127,0.0326253053024461,0.0327699652934809,GPR
0.094286,1.3929,10.0,5,SC,0.205358,0.336648,0.1954697303026674,0.0378247459614652,0.0374406540757777,GPR
0.105,1.3929,10.0,5,SC,0.2094,0.342968,0.218338456582856,0.0433560907810373,0.0423157014338971,GPR
0.115714,1.3929,10.0,5,SC,0.21299,0.348833,0.2416771621073271,0.0492434037935011,0.0474146302078575,GPR
0.126429,1.3929,10.0,5,SC,0.216174,0.354416,0.2655195274429045,0.0555127379871405,0.0527585182943906,GPR
0.137143,1.3929,10.0,5,SC,0.218992,0.359858,0.2898929889554009,0.0621896940324536,0.0583679749887721,GPR
0.147857,1.3929,10.0,5,SC,0.221483,0.365273,0.3148316088633973,0.0693023202596536,0.0642656499918911,GPR
0.158571,1.3929,10.0,5,SC,0.223682,0.370752,0.3403667345946098,0.0768781438068387,0.0704737443187441,GPR
0.169286,1.3929,10.0,5,SC,0.225621,0.376367,0.3665311724803841,0.0849447992251045,0.077014574771215,GPR
0.18,1.3929,10.0,5,SC,0.227331,0.382173,0.3933488582912199,0.0935262224977547,0.0839075324330423,GPR
0.03,1.5714,10.0,5,SC,0.140442,0.222205,0.0665301360208154,0.0109701336217035,0.011967370308351,GPR
0.040714,1.5714,10.0,5,SC,0.147114,0.236636,0.0871591469673739,0.0147691118431046,0.0158255560173288,GPR
0.051429,1.5714,10.0,5,SC,0.153078,0.249624,0.1081048454087395,0.0188236042560309,0.0198265841754177,GPR
0.062143,1.5714,10.0,5,SC,0.158424,0.261334,0.1293833589694963,0.023142101375831,0.0239770167693537,GPR
0.072857,1.5714,10.0,5,SC,0.163227,0.27193,0.151019443555247,0.0277374565718414,0.0282872599342008,GPR
0.083571,1.5714,10.0,5,SC,0.167552,0.28157,0.1730383892289127,0.0326253053024461,0.0327699652934809,GPR
0.094286,1.5714,10.0,5,SC,0.171452,0.290394,0.1954697303026674,0.0378247459614652,0.0374406540757777,GPR
0.105,1.5714,10.0,5,SC,0.174974,0.298531,0.218338456582856,0.0433560907810373,0.0423157014338971,GPR
0.115714,1.5714,10.0,5,SC,0.17816,0.306089,0.2416771621073271,0.0492434037935011,0.0474146302078575,GPR
0.126429,1.5714,10.0,5,SC,0.181045,0.31316,0.2655195274429045,0.0555127379871405,0.0527585182943906,GPR
0.137143,1.5714,10.0,5,SC,0.183661,0.319818,0.2898929889554009,0.0621896940324536,0.0583679749887721,GPR
0.147857,1.5714,10.0,5,SC,0.186035,0.32612,0.3148316088633973,0.0693023202596536,0.0642656499918911,GPR
0.158571,1.5714,10.0,5,SC,0.188195,0.332107,0.3403667345946098,0.0768781438068387,0.0704737443187441,GPR
0.169286,1.5714,10.0,5,SC,0.190161,0.337801,0.3665311724803841,0.0849447992251045,0.077014574771215,GPR
