t_over_L,d_mm,L_mm,N,lattice_type,band_mean_alpha,C11,C12,C44,surrogate_method,alpha_500hz,alpha_600hz,alpha_700hz,alpha_800hz,alpha_900hz,alpha_1000hz,alpha_1100hz,alpha_1200hz,alpha_1300hz,alpha_1400hz,alpha_1500hz,alpha_1600hz,alpha_1700hz,alpha_1800hz,alpha_1900hz,alpha_2000hz
0.115714,0.8571,10.0,5,SC,0.510127,0.2416771621073271,0.0492434037935011,0.0474146302078575,GPR,0.59773767,0.83849424,0.68966275,0.47919604,0.34383005,0.2661465,0.22454578,0.20926617,0.22029653,0.26867333,0.38376024,0.6146005,0.91311413,0.9316023,0.68516535,0.47811222
0.126429,0.8571,10.0,5,SC,0.51195,0.2655195274429045,0.0555127379871405,0.0527585182943906,GPR,0.6243352,0.8525139,0.68171346,0.4691355,0.33641845,0.2612576,0.22180846,0.20882322,0.22319706,0.27782756,0.40588292,0.6576443,0.94697434,0.90540946,0.6467286,0.45225933
0.137143,0.8571,10.0,5,SC,0.51293,0.2898929889554009,0.0621896940324536,0.0583679749887721,GPR,0.64711237,0.8633296,0.67448276,0.46059918,0.33016947,0.2571142,0.21946019,0.20841072,0.2256593,0.28577784,0.42531052,0.694276,0.96896166,0.8791339,0.61594045,0.43228757
0.147857,0.8571,10.0,5,SC,0.513351,0.3148316088633973,0.0693023202596536,0.0642656499918911,GPR,0.6662021,0.87186015,0.66832465,0.45353693,0.32497948,0.25362843,0.21742815,0.20795357,0.22756705,0.29227215,0.44146916,0.7239357,0.9822378,0.8557862,0.5919826,0.41703457
0.158571,0.8571,10.0,5,SC,0.513418,0.3403667345946098,0.0768781438068387,0.0704737443187441,GPR,0.68176115,0.8788385,0.66345954,0.44788614,0.32075933,0.2507288,0.21565591,0.20739657,0.22883631,0.29712307,0.45393872,0.7464835,0.98972744,0.8368934,0.5740179,0.40564123
0.169286,0.8571,10.0,5,SC,0.513278,0.3665311724803841,0.0849447992251045,0.077014574771215,GPR,0.6939545,0.8848318,0.660021,0.4435833,0.3174344,0.24835835,0.2141015,0.20670322,0.22941615,0.30021405,0.46246007,0.7620595,0.9937584,0.8231239,0.56133056,0.39748573
0.18,0.8571,10.0,5,SC,0.513035,0.3933488582912199,0.0935262224977547,0.0839075324330423,GPR,0.7029375,0.89026153,0.65809,0.44057277,0.31494564,0.24647424,0.21273644,0.20585471,0.22928748,0.30149862,0.4669258,0.77093714,0.99595606,0.8146978,0.5533719,0.39213508
0.03,1.0357,10.0,5,SC,0.263023,0.0665301360208154,0.0109701336217035,0.011967370308351,GPR,0.13512436,0.2516706,0.3892985,0.45876876,0.42459062,0.34906518,0.28003103,0.22877768,0.19361556,0.17132422,0.15995592,0.15936553,0.1716203,0.20194891,0.26029444,0.361189
0.040714,1.0357,10.0,5,SC,0.281077,0.0871591469673739,0.0147691118431046,0.0158255560173288,GPR,0.15546674,0.29078344,0.4398868,0.49265528,0.43473592,0.34801543,0.2763151,0.22555003,0.19192754,0.1717428,0.16322853,0.16687447,0.18602127,0.22829065,0.30748242,0.44012016
0.051429,1.0357,10.0,5,SC,0.298063,0.1081048454087395,0.0188236042560309,0.0198265841754177,GPR,0.17515142,0.32854548,0.48502013,0.5174507,0.43872198,0.3442866,0.27159345,0.22194247,0.19007364,0.1720805,0.16651593,0.17463793,0.20129573,0.25693193,0.35939038,0.5231677
0.062143,1.0357,10.0,5,SC,0.314084,0.1293833589694963,0.023142101375831,0.0239770167693537,GPR,0.19396557,0.36445162,0.5244583,0.5349052,0.4387748,0.33925745,0.26659638,0.21835391,0.18828346,0.17246246,0.16985413,0.18258683,0.21722147,0.28736153,0.4145291,0.6047129
0.072857,1.0357,10.0,5,SC,0.329066,0.151019443555247,0.0277374565718414,0.0282872599342008,GPR,0.2117225,0.39811426,0.55836946,0.5467512,0.43649432,0.33377045,0.26172376,0.21498205,0.18665497,0.17291977,0.17320345,0.19057626,0.23346803,0.31885237,0.4709133,0.6790723
0.083571,1.0357,10.0,5,SC,0.342851,0.1730383892289127,0.0326253053024461,0.0327699652934809,GPR,0.22825725,0.42925096,0.5871918,0.55451345,0.43298447,0.3283285,0.25718635,0.2119156,0.18521732,0.17343526,0.17648491,0.19841744,0.24962984,0.35051614,0.5263158,0.7419849
0.094286,1.0357,10.0,5,SC,0.355277,0.1954697303026674,0.0378247459614652,0.0374406540757777,GPR,0.24343166,0.45768285,0.61152375,0.5594486,0.42898744,0.3232235,0.2530867,0.20918433,0.18396457,0.17396943,0.1796034,0.20590347,0.26526335,0.3813865,0.57860917,0.7915423
0.105,1.0357,10.0,5,SC,0.366232,0.218338456582856,0.0433560907810373,0.0423157014338971,GPR,0.25712934,0.48331013,0.6320199,0.562547,0.4249946,0.3186205,0.24946795,0.20678852,0.18287514,0.17447485,0.18246062,0.21282472,0.2799136,0.41049042,0.62604195,0.8281405
0.115714,1.0357,10.0,5,SC,0.375673,0.2416771621073271,0.0492434037935011,0.0474146302078575,GPR,0.26926404,0.5061102,0.649337,0.56456953,0.42132545,0.31460604,0.24633951,0.20471333,0.1819218,0.17490517,0.18496633,0.21898778,0.29315293,0.43694097,0.66744155,0.8537811
0.126429,1.0357,10.0,5,SC,0.383619,0.2655195274429045,0.0555127379871405,0.0527585182943906,GPR,0.27977353,0.52610976,0.664082,0.5660888,0.41818634,0.31122178,0.24369434,0.20293882,0.18107796,0.17521997,0.18704367,0.22422466,0.30460197,0.45998424,0.702218,0.8711477
0.137143,1.0357,10.0,5,SC,0.390132,0.2898929889554009,0.0621896940324536,0.0583679749887721,GPR,0.2886162,0.54336286,0.67678577,0.56753105,0.41571054,0.30848488,0.24151896,0.20144537,0.18032123,0.17538768,0.18863277,0.2284003,0.31394717,0.47902653,0.7302512,0.8828991
0.147857,1.0357,10.0,5,SC,0.395298,0.3148316088633973,0.0693023202596536,0.0642656499918911,GPR,0.295775,0.55794674,0.6879009,0.5692123,0.41398317,0.30639815,0.23979744,0.2002154,0.17963457,0.17538711,0.18969434,0.2314214,0.32096142,0.4936568,0.7517397,0.8912821
0.158571,1.0357,10.0,5,SC,0.399207,0.3403667345946098,0.0768781438068387,0.0704737443187441,GPR,0.30125162,0.56994194,0.69779485,0.5713664,0.4130604,0.30495906,0.23851553,0.19923544,0.17900729,0.17520782,0.19020966,0.2332372,0.32550672,0.5036304,0.76701117,0.8979745
0.169286,1.0357,10.0,5,SC,0.401945,0.3665311724803841,0.0849447992251045,0.077014574771215,GPR,0.30506617,0.5794263,0.70675516,0.5741667,0.41298112,0.3041637,0.237662,0.19849654,0.17843495,0.17484984,0.19018035,0.23384032,0.327537,0.5088554,0.7763861,0.9040802
0.18,1.0357,10.0,5,SC,0.403586,0.3933488582912199,0.0935262224977547,0.0839075324330423,GPR,0.30725417,0.5864659,0.71499157,0.5777416,0.413775,0.3040102,0.2372299,0.19799463,0.17791937,0.17432308,0.1896271,0.23326422,0.3270939,0.50937384,0.78008723,0.91017276
0.03,1.2143,10.0,5,SC,0.205251,0.0665301360208154,0.0109701336217035,0.011967370308351,GPR,0.080599666,0.14801054,0.24037136,0.32422793,0.3513306,0.32187328,0.2719815,0.2254986,0.18921468,0.16302624,0.14546612,0.13546932,0.13285759,0.13860622,0.1552762,0.18772718
0.040714,1.2143,10.0,5,SC,0.216205,0.0871591469673739,0.0147691118431046,0.0158255560173288,GPR,0.09007222,0.16668311,0.27021283,0.35690027,0.37358224,0.33198085,0.27533877,0.22626922,0.18940574,0.16354418,0.14683309,0.1381861,0.13764216,0.1466644,0.16872588,0.21023953
0.051429,1.2143,10.0,5,SC,0.225898,0.1081048454087395,0.0188236042560309,0.0198265841754177,GPR,0.09900803,0.18456481,0.29847914,0.38599813,0.3912786,0.33874035,0.2767917,0.22599596,0.18897094,0.16362518,0.14784504,0.14058661,0.14215152,0.15454961,0.18227112,0.2334311
