t_over_L,d_mm,L_mm,N,lattice_type,band_mean_alpha,alpha_1000hz
0.03,1.3929,33.3333,10,FCC_face,0.56787,0.872482
0.03,1.3929,33.3333,15,FCC_face,0.618134,0.495964
0.03,1.3929,33.3333,20,FCC_face,0.637198,0.761094
0.03,1.3929,36.6667,5,FCC_face,0.417613,0.283956
0.03,1.3929,36.6667,10,FCC_face,0.482623,0.428171
0.03,1.3929,36.6667,15,FCC_face,0.504555,0.515505
0.03,1.3929,36.6667,20,FCC_face,0.513245,0.57396
0.03,1.3929,40.0,5,FCC_face,0.354372,0.885108
0.03,1.3929,40.0,10,FCC_face,0.391635,0.462603
0.03,1.3929,40.0,15,FCC_face,0.399212,0.567394
0.03,1.3929,40.0,20,FCC_face,0.401288,0.646229
0.03,1.5714,20.0,5,FCC_face,0.207587,0.237209
0.03,1.5714,20.0,10,FCC_face,0.363538,0.345492
0.03,1.5714,20.0,15,FCC_face,0.468208,0.274318
0.03,1.5714,20.0,20,FCC_face,0.552911,0.744334
0.03,1.5714,23.3333,5,FCC_face,0.309656,0.158071
0.03,1.5714,23.3333,10,FCC_face,0.426693,0.454685
0.03,1.5714,23.3333,15,FCC_face,0.560194,0.871312
0.03,1.5714,23.3333,20,FCC_face,0.635783,0.650228
0.03,1.5714,26.6667,5,FCC_face,0.313375,0.154472
0.03,1.5714,26.6667,10,FCC_face,0.505285,0.285689
0.03,1.5714,26.6667,15,FCC_face,0.613554,0.395284
0.03,1.5714,26.6667,20,FCC_face,0.688221,0.485452
0.03,1.5714,30.0,5,FCC_face,0.398873,0.428322
0.03,1.5714,30.0,10,FCC_face,0.577627,0.862326
0.03,1.5714,30.0,15,FCC_face,0.643803,0.525283
0.03,1.5714,30.0,20,FCC_face,0.700457,0.502021
0.03,1.5714,33.3333,5,FCC_face,0.444228,0.620435
0.03,1.5714,33.3333,10,FCC_face,0.582018,0.363556
0.03,1.5714,33.3333,15,FCC_face,0.651721,0.911733
0.03,1.5714,33.3333,20,FCC_face,0.675654,0.542644
0.03,1.5714,36.6667,5,FCC_face,0.4405,0.241488
0.03,1.5714,36.6667,10,FCC_face,0.53621,0.648353
0.03,1.5714,36.6667,15,FCC_face,0.577925,0.903481
0.03,1.5714,36.6667,20,FCC_face,0.599901,0.648735
0.03,1.5714,40.0,5,FCC_face,0.385919,0.445832
0.03,1.5714,40.0,10,FCC_face,0.451367,0.76624
0.03,1.5714,40.0,15,FCC_face,0.474106,0.812556
0.03,1.5714,40.0,20,FCC_face,0.482979,0.754555
0.03,1.75,23.3333,5,FCC_face,0.265022,0.157736
0.03,1.75,23.3333,10,FCC_face,0.358552,0.554798
0.03,1.75,23.3333,15,FCC_face,0.512352,0.548169
0.03,1.75,23.3333,20,FCC_face,0.56987,0.369972
0.03,1.75,26.6667,5,FCC_face,0.281044,0.131416
0.03,1.75,26.6667,10,FCC_face,0.452532,0.244484
0.03,1.75,26.6667,15,FCC_face,0.575151,0.356096
0.03,1.75,26.6667,20,FCC_face,0.646514,0.475225
0.03,1.75,30.0,5,FCC_face,0.358978,0.227494
0.03,1.75,30.0,10,FCC_face,0.527411,0.703385
0.03,1.75,30.0,15,FCC_face,0.611467,0.955365
